,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,DOLocationID,fare_amount,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng
3178,2022-01-03 11:50:29,2022-01-03 11:55:59,7,223,6.0,40.76108472915124,-73.92149056694653,40.778193328200736,-73.90667183004702
3179,2022-01-03 11:16:40,2022-01-03 11:24:47,33,195,7.5,40.69623832706301,-73.99532879720404,40.67546168386208,-74.00954931328396
3180,2022-01-03 11:07:06,2022-01-03 11:12:51,41,166,5.5,40.80420482862898,-73.95206533089232,40.80957022827245,-73.96181526438258
3181,2022-01-03 11:25:26,2022-01-03 11:29:57,152,152,5.0,40.81757720019101,-73.95432487462715,40.81757720019101,-73.95432487462715
3182,2022-01-03 11:32:20,2022-01-03 11:53:59,152,69,16.5,40.81757720019101,-73.95432487462715,40.830607677614125,-73.91536622023362
3183,2022-01-03 11:40:13,2022-01-03 11:48:49,244,74,13.5,40.84121866986656,-73.94166681405747,40.80556556547766,-73.9383104968462
3185,2022-01-03 11:11:42,2022-01-03 11:22:26,33,25,8.0,40.69623832706301,-73.99532879720404,40.68561458946419,-73.98645898767127
3186,2022-01-03 11:31:09,2022-01-03 11:49:03,7,237,15.0,40.76108472915124,-73.92149056694653,40.76854188466485,-73.96569149194592
3188,2022-01-03 11:24:42,2022-01-03 11:32:26,43,237,7.0,40.782459738636334,-73.96557217995945,40.76854188466485,-73.96569149194592
3189,2022-01-03 11:44:25,2022-01-03 11:54:38,75,168,10.5,40.790650159764766,-73.94495666768462,40.80743953086456,-73.91705803171513
3190,2022-01-03 11:12:19,2022-01-03 11:18:05,41,74,6.0,40.80420482862898,-73.95206533089232,40.80556556547766,-73.9383104968462
3191,2022-01-03 11:26:56,2022-01-03 11:31:39,75,236,5.0,40.790650159764766,-73.94495666768462,40.78049147573493,-73.95697238530639
3192,2022-01-03 11:40:47,2022-01-03 11:49:39,75,41,8.0,40.790650159764766,-73.94495666768462,40.80420482862898,-73.95206533089232
3193,2022-01-03 11:32:36,2022-01-03 12:05:36,76,71,23.5,40.658686304466364,-73.87841736699428,40.64392851928066,-73.93773452015775
3194,2022-01-03 11:38:42,2022-01-03 11:47:29,43,239,8.5,40.782459738636334,-73.96557217995945,40.784107364553954,-73.97827334184862
3195,2022-01-03 11:38:25,2022-01-03 12:05:57,255,89,27.5,40.718834192234766,-73.95713377568889,40.64098273381023,-73.9626937337469
3197,2022-01-03 11:23:03,2022-01-03 11:44:30,97,225,16.0,40.690615655694266,-73.975576580035,40.68878506720026,-73.93144485223571
3198,2022-01-03 11:40:42,2022-01-03 12:07:21,52,72,20.0,40.686604541764765,-73.99692247138711,40.65246063118758,-73.92021005488328
3199,2022-01-03 11:48:34,2022-01-03 12:05:33,82,102,14.0,40.73846392036753,-73.87234400959339,40.70267935991453,-73.88199872967007
